name,price_x,release_date,review_no,review_type,tags,description,Release_date,releasedate,copiessold,price_y,revenue,avgplaytime,reviewscore,publisherclass,publishers,developers,steamid
Jet Set Radio,7.99,2012-09-19,4530.0,Very Positive,"Great Soundtrack,Classic,Action,3D Platformer,Singleplayer,Colorful,Platformer,Stylized,Arcade,Parkour,Cult Classic,Third Person,Music,Controller,Retro,Skating,Atmospheric,Sports,Open World,Anime","Tag, grind, and trick to the beat in SEGA’s hit game Jet Set Radio!",2012-09-19,,,,,,,,,,
JetX Space Edition,4.99,2019-05-30,13.0,Mixed,"Racing,Action,Casual,FPS,Flight,PvP,Co-op,Great Soundtrack,Arcade,Shooter,Competitive,Difficult,Minimalist,Atmospheric,Singleplayer,Colorful,Replay Value,Team-Based,Adventure","JetX Space edition is out of this world! The new ambitious arena-shooter game features arcade racing, epic arena battles, and a rich variety of game modes. Race, compete, destroy!",2019-05-30,,,,,,,,,,
Jianghu Survivor,3.99,2023-06-01,1054.0,Very Positive,"Casual,Action,RPG,Action-Adventure,Action Roguelike,Roguelike,2D,Cute,Hand-drawn,Swordplay,Relaxing,Magic,Combat,Automation,Singleplayer,Co-op,Adventure,Online Co-Op,Multiplayer,Indie","This is a light casual game of roguelite with Chinese style. Fight your way out of the monsters, either alone or with a group of three or four friends. Play as different characters, form a unique Build game, defeat the final monster, enjoy killing monsters!",2023-06-01,,,,,,,,,,
Jitsu Squad,5.49,2022-03-29,193.0,Very Positive,"Action,2D,Beat 'em up,Co-op,Ninja,Side Scroller,Hack and Slash,1990's,Old School,Comedy,Funny,Character Action Game,Arcade,Fighting,Retro,Superhero,Swordplay,Linear,Combat,4 Player Local",Jitsu Squad is a Marvel vs Capcom inspired 4 player co-op TAG TEAM beat ‘em up with epic character transformations and fast paced combat.,2022-03-29,,,,,,,,,,
JoJo's Bizarre Adventure: All-Star Battle R,14.99,2022-09-02,7084.0,Very Positive,"Anime,Action,Fighting,PvP,Multiplayer,2D Fighter,3D Fighter,Memes,2D,Great Soundtrack,3D,Colorful,Story Rich,Violent,2.5D,Local Co-Op,2D Platformer,Controller,Arcade,Sexual Content","Hirohiko Araki's masterpiece, brought to life as a fighting game! Battle with 50 colorful characters, wielding Stands, Hamon, and more! See how characters who could never meet in the story interact when they come face to face!",2022-09-02,,,,,,,,,,
JoJo's Bizarre Adventure: All-Star Battle R - Alternate World Diego DLC,2.49,2023-06-16,45.0,Positive,Action,"Wryyy! Stop your enemies in time with the ultimate stand, The World, wielded by Diego Brando! Take your game to a whole other universe with Diego's new found abilities! Available now!",2023-06-16,,,,,,,,,,
JoJo's Bizarre Adventure: All-Star Battle R - Leone Abbacchio,3.49,2023-09-01,15.0,Positive,"Action,PvP,Anime,2D Fighter,2D Platformer,2D","Bucciarati's team is fully reunited in All-Star Battle R with the playable character addition of Leone Abbacchio and his detective stand, Moody Jazz. Make your opponents think twice and see double with Leone Abbacchio! Available Now!",2023-09-01,,,,,,,,,,
JoJo's Bizarre Adventure: All-Star Battle R - Risotto Nero DLC,2.49,2022-10-28,52.0,Very Positive,Action,"The leader of La Squadra Esecuzioni, Risotto Nero, has joined the roster of All-Star Battle R! Have your opponents say their prayers when they fight against Risotto Nero's metallic manipulation!",2022-10-28,,,,,,,,,,
JoJo's Bizarre Adventure: All-Star Battle R - Rudol von Stroheim DLC,2.49,2023-02-03,45.0,Positive,Action,"The boisterous, super soldier, Rudol von Stroheim, has joined the roster of All-Star Battle R! Obtain a superior edge over your opponents with Stroheim's mechanical might!",2023-02-03,,,,,,,,,,
JoJo's Bizarre Adventure: All-Star Battle R - Wonder of U,3.49,2023-12-08,48.0,Positive,"Action,PvP,2D,Anime,2D Fighter,2D Platformer",Wield the power of Wonder of U and cause calamity to any opponent that gets in your way! Use the natural laws of calamity to your advantage to inevitably sway victory in your favor!,2023-12-08,,,,,,,,,,
Job Simulator,8.19,2016-04-05,3679.0,Very Positive,"VR,Simulation,Funny,First-Person,Singleplayer,Robots,Comedy,Physics,Memes,Family Friendly,Casual,Sandbox,Sci-fi,Action,Indie,Atmospheric,Job Simulator,Realistic,Futuristic,Psychological Horror","In a world where robots have replaced all human jobs, step into the ""Job Simulator"" to learn what it was like 'to job'.",2016-04-05,,,,,,,,,,
Joe and the Gun,0.45,2021-05-13,13.0,Positive,"Casual,Action,Arcade,2D Platformer,Precision Platformer,Roguelite,Arena Shooter,Top-Down Shooter,2D,Pixel Graphics,Old School,Adventure,PvE,Perma Death,Singleplayer,Music",Joe must survive in the arena and destroy all the aliens who attacked the North Pole.,2021-05-13,,,,,,,,,,
Joggernauts,1.37,2018-10-11,77.0,Very Positive,"Indie,Action,Local Co-Op,Co-op,Platformer,Puzzle Platformer,Runner,Funny,Aliens,Space,Family Friendly,Singleplayer,Local Multiplayer,Team-Based,2D,Sci-fi,Great Soundtrack,Colorful,Cute,Multiplayer","Jog! Jump! Switch!



Coordinate the crazy conga line of alien athletes in this autorunner / puzzle platformer for 1-4 players.",2018-10-11,,,,,,,,,,
John Christian,2.99,2021-07-07,22.0,Mostly Positive,"Strategy,Action,Adventure,Casual,Action-Adventure,Spectacle fighter,3D,Indie,Combat,Singleplayer,Souls-like,Faith,Hentai,Sexual Content","The John Christian Game is a story of heroism of a young man, who after receiving the armor of God, goes in search of imprisoned lives. On his journey, he will need to face obstacles and enemies who want to keep these people in prison.",2021-07-07,,,,,,,,,,
Jotun: Valhalla Edition,6.99,2015-09-29,2065.0,Mostly Positive,"Adventure,Mythology,Action,Indie,Hand-drawn,Female Protagonist,Difficult,Singleplayer,Atmospheric,Exploration,Great Soundtrack,2D,Isometric,Fantasy,Vikings,Controller,Kickstarter,Story Rich,Boss Rush,Souls-like","Jotun is a hand-drawn action-exploration game set in Norse mythology. 

In Jotun, you play Thora, a Viking warrior who died an inglorious death and must prove herself to the Gods to enter Valhalla. 

Impress the Gods!",2015-09-29,,,,,,,,,,
Journey To The Savage Planet,10.49,2021-01-28,4742.0,Very Positive,"Adventure,Action,Exploration,Action-Adventure,3D Platformer,Multiplayer,First-Person,Arcade,Colorful,Comedy,Shoot 'Em Up,Dark Comedy,1990's,Co-op,Dark Humor,Story Rich,Singleplayer,Metroidvania,Sci-fi,Violent","""WELCOME TO THE PIONEER PROGRAM! As the newest recruit of Kindred Aerospace - The 4th best interstellar space exploration company - Your job is to determine if the planet ARY-26 planet is fit for humans. You may be short on equipment and experience, but you'll figure it out. Good luck!",2021-01-28,,,,,,,,,,
Journey to the Savage Planet - Hot Garbage,7.99,2021-01-28,92.0,Mixed,"Action,Adventure,Exploration,Comedy,Arcade,Action-Adventure,Colorful,3D Platformer,Dark Humor,Dark Comedy","Your new mission: Scout out the proposed home of a new Kindred waterfront resort 'Boomerdale'. Uncover the source of some mysterious pollutants, meet some new robotic adversaries, gather some fresh new upgrades (infinite stamina!) and report your discoveries back to Kindred Aerospace.",2021-01-28,,,,,,,,,,
Journey to the West Survivor,,,,,,,,24-03-2024,10946.0,5.99,41369.0,10.398218727760351,87.0,Indie,Leyo Games,Buding Games,2450100.0
Joy Climb,0.68,2018-03-02,22.0,Positive,"Action,Indie,Casual,Experimental,Arcade,Side Scroller,Precision Platformer,Flight,2D,Cute,Minimalist,Ninja,Parkour,Psychological,Emotional,Physics,Singleplayer,Platformer,Retro","You must move upwards. 

Higher! 

To the Top!!! 



But more often you fill fall down.",2018-03-02,,,,,,,,,,
Joyville,5.99,2023-08-23,223.0,Mostly Positive,"Adventure,1980s,Horror,Survival Horror,Puzzle,Action,First-Person,Psychological Horror,Investigation,Survival,Mystery,Action-Adventure,Atmospheric,Puzzle Platformer,Exploration,Idler,Retro,Logic,Singleplayer,Dark","Joyville is a horror-puzzle adventure game set in an abandoned children's camp. Brace yourself for a gripping journey through the shadows, solving puzzles, and trying to survive amidst the hidden horrors that await you.",2023-08-23,,,,,,,,,,
Jubilee,5.49,2021-11-18,57.0,Very Positive,"Action,Platformer,2D Platformer,Exploration,Metroidvania,Precision Platformer,2D,Pixel Graphics,Indie,Female Protagonist,Singleplayer","Challenging precision platformer based on tight, fluid movement. Open map layout with multiple routes. Collect gems and save animals.",2021-11-18,,,,,,,,,,
JudgeSim,,,,,,,,16-07-2024,33281.0,6.99,206875.0,3.020822486072547,0.0,Indie,DelusionArt Studio,DelusionArt Studio,2919660.0
Judgment,39.99,2022-09-14,6114.0,Very Positive,"Action,Adventure,Beat 'em up,Action-Adventure,3D Fighter,Cinematic,3D,Hack and Slash,Third Person,Realistic,Crime,Conspiracy,Detective,Dark,Drama,Foreign,Gambling,Investigation,Martial Arts,Logic","Fight for the truth and uncover the twisted crime running deep beneath the surface of Tokyo. In this legal thriller , the balance between justice and mercy teeters on the edge.",2022-09-14,,,,,,,,,,
Juicy Realm,5.49,2018-05-03,3207.0,Very Positive,"Action,Indie,Adventure,Action Roguelike,RPG,Casual,Roguelike,Local Co-Op,Local Multiplayer,Roguelite,Cute,Multiplayer,Twin Stick Shooter,Co-op,Shoot 'Em Up,Shooter,Cartoony,Colorful,Top-Down,Singleplayer","Juicy Realm is a roguelike game in which players must square off against bizarre fruits all across the world. The line between the animal and the plant world has become blurred, and the food chain has been completely disrupted. Humans, upon making this incredible discovery, have set up outposts along the border of the aggressive plants' habitat for investigations, defense, and in preparation for what may come. You take the role of a soldier on the front lines charged with confronting this strange new enemy.",2018-05-03,,,,,,,,,,
Jujutsu Kaisen Cursed Clash,59.99,2024-02-02,2282.0,Mixed,"Action,Anime,3D Fighter,3D,Online Co-Op,Multiplayer,PvP,3D Platformer,PvE,Co-op,Singleplayer,Gore,Violent,Fighting,Psychological Horror,Sexual Content","Master the Jujutsu of your favorite Sorcerers and Cursed Spirits! Bring a friend and dive into the world of JUJUTSU KAISEN in this action-packed, 2-on-2 fighting game!",2024-02-02,01-02-2024,42729.0,59.99,2207967.0,11.63491680640775,55.0,AA,Bandai Namco Entertainment Inc.,Byking Inc.,1877020.0
Jujutsu Kaisen Cursed Clash - Hidden Inventory/Premature Death,19.99,2024-05-30,63.0,Very Positive,"Action,Anime,3D Fighter,Gore,Violent,3D,Online Co-Op,3D Platformer,PvP,Multiplayer,PvE,Co-op,Singleplayer,Psychological Horror,Hentai,Fighting","Includes playable characters, character costumes, and additional scenarios for use in Jujutsu Kaisen Cursed Clash.",2024-05-30,,,,,,,,,,
Jujutsu Kaisen Cursed Clash - Jujutsu High First-Years Outfit Set,1.99,2024-03-07,12.0,Mixed,"Action,3D Fighter,Anime,3D Platformer,3D,PvP,Online Co-Op,Multiplayer,PvE,Gore,Co-op,Singleplayer,Violent,Hentai","This outfit set includes costumes with 4 color variations for Yuji Itadori, Megumi Fushiguro, and Kugisaki Nobara that can be used during battles.",2024-03-07,,,,,,,,,,
Jump King,3.49,2019-05-03,10416.0,Very Positive,"Psychological Horror,Difficult,Precision Platformer,Indie,Pixel Graphics,Adventure,Action,2D,Platformer,Singleplayer,Retro,Medieval,Atmospheric,Funny,Philosophical,Souls-like,Fantasy,Dark Humor,Horror,Side Scroller","Take up the challenge and face true high-stakes platforming in Jump King! Struggle upwards in search of the Smoking Hot Babe of legend, but explore with care; a single missed jump could lead to a long fall back down...",2019-05-03,,,,,,,,,,
Jump King - Soundtrack,1.49,2019-05-23,11.0,Positive,"Action,Adventure,Indie","This is the original soundtrack of Jump King, composed by talented musicians Nils Eklöf and Elias Thörnlund. It features 39 tracks, including bonus tracks that were not included in the game! To get the best experience with the game, and to avoid any spoilers - We recommend waiting until completing the game before listening to the soundtrack!",2019-05-23,,,,,,,,,,
Jump Off The Bridge,4.49,2019-05-01,223.0,Very Positive,"Indie,Action,Early Access,Adventure,Pixel Graphics,Difficult,Platformer,2D Platformer,Puzzle Platformer,Singleplayer,Side Scroller,2D,Dark Humor,Funny,Retro,Inventory Management,Old School,Silent Protagonist,Great Soundtrack",An absurd retro-platformer that tests your patience.,2019-05-01,,,,,,,,,,
Junk Survivor,7.49,2023-04-27,46.0,Mostly Positive,"Action,Survival,Post-apocalyptic,Zombies,Open World,Action-Adventure,Adventure,Singleplayer,PvE,Sandbox,Building,Simulation,Crafting,Survival Horror,Base Building,Exploration,Cartoony,Stylized,Combat,Inventory Management","Junk Survivor is a zombie post-apocalypse game where you loot, craft, build and farm in a struggle to survive. With a vast map to explore, a robust skillset to unlock this customizable sandbox awaits the adventurer. How long before you die!",2023-04-27,,,,,,,,,,
Jurassic Park Classic Games Collection,10.49,2023-11-22,50.0,Mostly Positive,"Exploration,Side Scroller,2D Platformer,Top-Down Shooter,Collectathon,Platformer,Shooter,2D,First-Person,Top-Down,Dinosaurs,Controller,Linear,Open World,Action,Colorful,Pixel Graphics,Family Friendly,Nature,Adventure","HOLD ON TO YOUR BUTTS! THE 8-AND 16-BIT ERA OF JURASSIC PARK GAMES HAS RETURNED, COMMEMORATING 30 YEARS OF THE ICONIC FILM!",2023-11-22,,,,,,,,,,
Jurassic World Evolution,43.99,2018-06-12,46521.0,Very Positive,"Building,Dinosaurs,Simulation,Management,Strategy,Sandbox,Singleplayer,City Builder,Sci-fi,Resource Management,Economy,Open World,Atmospheric,Violent,Action,Multiplayer,Great Soundtrack,Survival,Casual,Adventure","Place yourself at the heart of the Jurassic franchise and build your own Jurassic World. Bioengineer dinosaurs that think, feel and react intelligently to the world around them and face threats posed by espionage, breakouts and devastating tropical storms in an uncertain world where life always finds a way.",2018-06-12,,,,,,,,,,
Jurassic World Evolution 2: Camp Cretaceous Dinosaur Pack,5.49,2022-03-08,184.0,Very Positive,"Strategy,Action,Simulation,Dinosaurs,Building,Survival,Sandbox,Singleplayer,Violent,Economy,Sequel,Open World,Historical,Atmospheric,Resource Management,Management,City Builder,Sci-fi",Showcase an array of outstanding new prehistoric species with the Jurassic World Evolution 2: Camp Cretaceous Dinosaur Pack.,2022-03-08,,,,,,,,,,
Jurassic World Evolution 2: Dominion Biosyn Expansion,8.19,2022-06-14,348.0,Very Positive,"Strategy,Action,Simulation,Dinosaurs,Sequel,Management,Sci-fi,Economy,Sandbox,Base Building,Resource Management,Singleplayer,Multiplayer,Violent,Atmospheric,City Builder,Building,Survival,Open World","The biggest DLC yet for Jurassic World Evolution 2 features a new campaign inspired by events from Jurassic World Dominion, including all-new prehistoric species, feathered dinosaurs, a new Chaos Theory scenario, and more.",2022-06-14,,,,,,,,,,
Jurassic World Evolution 2: Early Cretaceous Pack,4.49,2021-12-09,107.0,Very Positive,"Simulation,Strategy,Action,Dinosaurs,Sequel,Management,Resource Management,Violent,Atmospheric,Singleplayer,Sandbox,Sci-fi,Building,Survival,Open World,City Builder,Economy,Historical",Breathe new life into your parks and discover a stunning array of Cretaceous animals with Jurassic World Evolution 2: Early Cretaceous Pack.,2021-12-09,,,,,,,,,,
Jusant,11.24,2023-10-31,2515.0,Very Positive,"Action,Action-Adventure,Atmospheric,Puzzle,Parkour,Soundtrack,Adventure,Exploration,Nature,Cute,3D Platformer,Platformer,Fantasy,Third Person,3D,Relaxing,Narration,Colorful,Singleplayer,Cinematic","Enjoy meditative vibes in Jusant, an action-puzzle climbing game. Scale an immeasurably tall tower and ascend to new heights alongside your watery companion. Master your climbing tools, find your way up through diverse biomes, and piece together the tower’s past.",2023-10-31,,,,,,,,,,
Just Act Natural,0.0,2022-03-26,5344.0,Very Positive,"Multiplayer,Casual,Action,Arcade,Stealth,Shooter,Character Action Game,Cartoon,Arena Shooter,3D,Free to Play,Cartoony,Colorful,First-Person,Hand-drawn,Comedy,Sniper,PvP,Indie,Early Access",Just Act Natural is a hand-crafted online party game where players must hide among NPC characters to avoid detection from the seeker. Compete against your friends in a variety of game modes over a course of different rounds to be crowned the winner!,2022-03-26,,,,,,,,,,
Just Act Natural: Premium Version,4.49,2021-09-01,58.0,Very Positive,"Free to Play,Indie,Casual,Action,Early Access,Multiplayer,PvP,Colorful,Arcade,Shooter,Hand-drawn,Cartoony","The Premium Version of Just Act Natural is here! A one time purchase of the Premium Version gets you three all new game modes, a new map as well as all future content that will be added to Just Act Natural in the coming months!",2021-09-01,,,,,,,,,,
Just Another Night Shift,3.99,2024-03-28,175.0,Very Positive,"Casual,Strategy,Real Time Tactics,3D,Cartoon,Indie,Cartoony,First-Person,Heist,PvP,Comic Book,Action,Stealth,Co-op",Just Another Night Shift is a casual competitive 1v1 PvP stealth strategy game. Play as a Thief and as a Security Guard. Steal the statue and try to prevent it in this 3D indie game. Grab a friend and work THE NIGHT SHIFT of your life. Join us for hours of fun gameplay with your friends!,2024-03-28,28-03-2024,4927.0,6.99,25488.0,3.699649889980997,93.0,Indie,RantaKoira,"RantaKoira,FinnGames",2331130.0
Just Arms,0.64,2020-04-19,30.0,Positive,"Action,Adventure,Precision Platformer,Physics,Difficult,Psychological Horror,Medieval,PvP,Singleplayer,Multiplayer,Indie","After a terrible fall you wake up confused and without legs. All hope is not lost though, for there is a tale of a witch with the power to regrow limbs. Punch yourself to the top, find the witch and get your legs back!",2020-04-19,,,,,,,,,,
Just Cause,4.99,2007-03-15,4026.0,Mixed,"Action,Open World,Shooter,Third Person,Singleplayer,Adventure,Sandbox,Third-Person Shooter,Classic,Multiplayer,Controller,Atmospheric,Great Soundtrack,Action RPG,Violent,Funny,RPG",Your world...Your rules!,2007-03-15,,,,,,,,,,
Just Cause 2,12.99,2010-03-23,39858.0,Very Positive,"Open World,Action,Sandbox,Multiplayer,Third Person,Adventure,Third-Person Shooter,Shooter,Singleplayer,Destruction,Exploration,Funny,Moddable,Co-op,Beautiful,Physics,Atmospheric,3D Vision,Comedy,FPS",Dive into an adrenaline-fuelled free-roaming adventure with 400 square miles of rugged terrain and hundreds of weapons and vehicles.,2010-03-23,,,,,,,,,,
Just Cause 4 Reloaded,27.16,2018-12-04,20409.0,Mixed,"Open World,Action,Destruction,Singleplayer,Adventure,Sandbox,Third-Person Shooter,Shooter,Physics,Violent,Funny,Story Rich,Gore,Atmospheric,Co-op,Driving,FPS,Third Person,Heist,Comedy","Rogue agent Rico Rodriguez journeys to Solis, a huge South American world home of conflict, oppression and extreme weather conditions. Strap into your wingsuit, equip your fully customizable grappling hook, and get ready to bring the thunder!",2018-12-04,,,,,,,,,,
Just Cause™ 3,6.7,2015-12-01,96178.0,Very Positive,"Open World,Action,Destruction,Third-Person Shooter,Multiplayer,Singleplayer,Adventure,Shooter,Sandbox,Third Person,Exploration,Physics,Funny,Atmospheric,Co-op,Parkour,Comedy,Great Soundtrack,Moddable,RPG","With over 1000 km² of complete freedom from sky to seabed, Rico Rodriguez returns to unleash chaos in the most creative and explosive ways imaginable.",2015-12-01,,,,,,,,,,
Just Cause™ 3 - Capstone Bloodhound RPG,1.89,2015-12-01,125.0,Mixed,"Adventure,Action","With sophisticated all weather laser guidance systems, the Capstone Bloodhound obliterates targets at extended (or close) ranges.",2015-12-01,,,,,,,,,,
Just Cause™ 3 - Combat Buggy,1.29,2015-12-01,118.0,Mixed,"Action,Adventure","Exude adventure with the all-terrain Urga Pocomaxa X4 buggy, especially when that adventure requires mounted machine guns.",2015-12-01,,,,,,,,,,
Just Cause™ 3 - Final Argument Sniper Rifle,1.89,2015-12-01,135.0,Mixed,"Action,Adventure",Stop enemies in their tracks with the long-range negotiating power of the Final Argument Sniper Rifle,2015-12-01,,,,,,,,,,
Just Cause™ 3 - Mini-Gun Racing Boat,1.29,2015-12-01,97.0,Mixed,"Adventure,Action",Knife through the Medician waves in the Mugello Delphino GLF speedboat with the finest brushed Italian leather seats and subtle dual miniguns.,2015-12-01,,,,,,,,,,
Just Cause™ 3 - Rocket Launcher Sports Car,1.29,2015-12-01,148.0,Mostly Positive,"Adventure,Action","For the more refined combat professional, drive the Kerner Serpente R12 sports car with precision rocket launchers elegantly engineered right into the hood.",2015-12-01,,,,,,,,,,
Just Cause™ 3 DLC: Bavarium Sea Heist Pack,3.49,2016-08-18,325.0,Very Positive,"Adventure,Action","Just Cause 3: Bavarium Sea Heist is the third PDLC pack from the Air, Land & Sea Expansion pass.",2016-08-18,,,,,,,,,,
Just Cause™ 3 DLC: Kousavá Rifle,1.89,2016-06-04,149.0,Mixed,"Action,Adventure",This one of a kind scorpion shaped rifle packs a deadly sting.,2016-06-04,,,,,,,,,,
Just Cause™ 3 DLC: Mech Land Assault,8.99,2016-06-10,249.0,Mostly Positive,"Action,Adventure,Mechs",Infiltrate the mysterious secret island of Lacrima to liberate rebels held prisoner by the ruthless soldiers of the Black Hand. Hijack powerful Mechs and use their incredible Gravity Weapon to hurl and smash the enemy into pieces.,2016-06-10,,,,,,,,,,
Just Cause™ 3 DLC: Reaper Missile Mech,2.99,2016-08-11,213.0,Very Positive,"Adventure,Action","Representing the latest in mechanised vehicle technology, the “Reaper” Mech brings elegance and sophistication to any conflict. Sit down, relax and enjoy the power of your multi-lock missile launcher, GRIP gravity weapon and force pulse punch.",2016-08-11,,,,,,,,,,
Just Cause™ 3 DLC: Sky Fortress Pack,8.99,2016-03-08,800.0,Very Positive,"Action,Adventure,Open World,Third-Person Shooter","Become the master of the skies with Rico's all new and fully armed, Bavarium Wingsuit. Save Medici from the threat of the terrifying Sky Fortress and its army of deadly robotic drones.",2016-03-08,,,,,,,,,,
Just Cause™ 4 : Shark & Bark Vehicle Pack,3.5,2019-10-17,26.0,Positive,"Action,Adventure,Gore,Violent","Sharks, lasers, dogs and boosters. What more could you want?",2019-10-17,,,,,,,,,,
Just Cause™ 4: Adversary Vehicle Pack,3.5,2019-08-29,35.0,Mostly Positive,"Action,Adventure,Gore,Violent","Adversary Assault Vehicle Pack includes: VTOL JET (X700 Flycatcher), BLACK HAND INTERCEPTOR (Prospero Shade)",2019-08-29,,,,,,,,,,
Just Cause™ 4: Brawler Mech,3.5,2019-10-24,63.0,Mostly Positive,"Action,Adventure,Gore,Violent",The Brawler Mech is built for delivering swift destruction! Smash your way through Black Hand strongholds with the Brawler Mech's powerful punch.,2019-10-24,,,,,,,,,,
Just Cause™ 4: Danger Rising,8.5,2019-09-06,123.0,Very Positive,"Action,Adventure,Gore,Violent","Armed with a new prototype hover board, Rico takes on The Agency in Just Cause 4: Danger Rising.",2019-09-06,,,,,,,,,,
Just Cause™ 4: Deathstalker Scorpion Pack,3.5,2018-12-04,59.0,Mixed,"Action,Adventure",Grab the Deathstalker Scorpion Pack containing customised gear crafted by Rico Rodriguez himself.,2018-12-04,,,,,,,,,,
Just Cause™ 4: Digital Deluxe Content,13.92,2018-12-04,102.0,Very Positive,"Action,Adventure,Gore,Violent,Open World",The Just Cause 4 Digital Deluxe Content provide players with experimental Black Hand equipment: the Black Hand Stealth Micro Jet and the Black Hand Prototype Weaponized Wingsuit.,2018-12-04,,,,,,,,,,
Just Cause™ 4: Golden Gear Pack,2.99,2018-12-04,52.0,Mostly Positive,"Action,Adventure,Gore,Violent","Grab the premium Golden Gear Pack and receive the coveted Golden Gear Shotgun featuring ricochet tracer secondary fire, plus the Golden Gear Wingsuit and Golden Gear Parachute.",2018-12-04,,,,,,,,,,
Just Cause™ 4: Neon Racer Pack,1.99,2018-12-04,58.0,Very Positive,"Action,Adventure","Grab the Neon Racer Pack and receive the modified Neon Racer Supercar, plus the Neon Racer Wingsuit and Neon Racer Parachute.",2018-12-04,,,,,,,,,,
Just Cause™ 4: Renegade Pack,1.99,2018-12-04,45.0,Positive,"Action,Adventure","Grab the Renegade Pack and receive the specialized Renegade Drone Rifle, plus the Renegade Wingsuit and Renegade Parachute.",2018-12-04,,,,,,,,,,
Just Cause™ 4: Sea Dogs Vehicle Pack,3.5,2019-10-10,29.0,Mostly Positive,"Action,Adventure,Gore,Violent","The Sea Dogs Vehicle Pack includes: 

GUNPOWDER GALLEON (SS Borracho)

ARMORED HOVERCRAFT (Hellbender)",2019-10-10,,,,,,,,,,
Just Cause™ 4: Soaring Speed Vehicle Pack,3.5,2019-07-25,27.0,Mostly Positive,"Action,Adventure,Gore,Violent",Enhance your Just Cause 4 gameplay experience with the Soaring Speed Vehicle pack which includes 2 unique vehicles,2019-07-25,,,,,,,,,,
Just Cause™ 4: The Dragon,1.79,2019-04-23,35.0,Mostly Positive,"Action,Adventure,Gore,Violent",Add the explosive weapon 'The Dragon' to your Just Cause 4 arsenal and watch the fireworks fly!,2019-04-23,,,,,,,,,,
Just Cause™ 4: Toy Vehicle Pack,3.5,2019-06-26,43.0,Mostly Positive,"Action,Adventure,Gore,Violent",These Toy Vehicles may be small but still pack a lot of firepower!,2019-06-26,,,,,,,,,,
Just Click The Button,,,,,,,,17-01-2024,15760.0,2.99,41751.0,6.070071139889177,93.0,Indie,Simon Eftestol,Simon Eftestol,2577760.0
Just Crow Things,8.19,2024-08-15,119.0,Very Positive,"Action,Adventure,Casual,Simulation,Action-Adventure,Puzzle,Sandbox,Exploration,3D,Cartoon,Cartoony,Colorful,Cute,Comedy,Family Friendly,Funny,Nature,Parody ,Relaxing,Character Customization","You're a little crow trying to prove herself to the world. Make new animal friends, poop on unsuspecting hoomans, and steal all the shiny trinkets! Each level is a little sandbox full of fun items to discover and puzzles to solve, while leaving a bit of chaos behind. Why? Just caws!",2024-08-15,15-08-2024,3701.0,19.99,61496.0,3.30811829010812,96.0,Indie,Unbound Creations,Unbound Creations,2537920.0
Just In Time Incorporated,2.99,2017-07-27,225.0,Mostly Positive,"Action,Indie,Simulation,VR,Bullet Time,Time Manipulation,Physics","Become a death prevention insurance agent at Just In Time Incorporated and grab bullets, grenades, or even a fire extinguisher to save your clients from gruesome death. With the power of hyper-glove technology, time slows down but you won’t have to!",2017-07-27,,,,,,,,,,
Just Shapes & Beats,8.99,2018-05-31,18468.0,Overwhelmingly Positive,"Rhythm,Great Soundtrack,Music,Bullet Hell,Difficult,Multiplayer,2D,Indie,Action,Co-op,Singleplayer,Local Multiplayer,Online Co-Op,Local Co-Op,Fast-Paced,4 Player Local,Story Rich,Colorful,Funny,Strategy","""Just Shapes & Beats"" is a chaotic co-op musical bullet-hell based on three simple things: avoid Shapes, move to the kick-ass Beats, and die, repeatedly.",2018-05-31,,,,,,,,,,
Just Shapes & Beats - Monstercat Track Selection,3.49,2018-05-31,125.0,Very Positive,"Indie,Action,Soundtrack",Enjoy these blood pumping tracks from our friends at Monstercat straight out of Just Shapes & Beats on any MP3 device!,2018-05-31,,,,,,,,,,
Just Xiangqi,,,,,,,,15-01-2024,18233.0,9.99,122952.0,10.496655937885572,86.0,Indie,Studio Amateur,Studio Amateur,2248180.0
KAKU: Ancient Seal,9.36,2024-07-12,1594.0,Very Positive,"Open World,Action RPG,Action-Adventure,Cartoon,RPG,Action,Combat,Adventure,Dungeon Crawler,Exploration,Puzzle,Fantasy,Mythology,Character Action Game,Puzzle Platformer,Third Person,3D,Story Rich,Cartoony,Singleplayer","An Open world Action adventure combining exploration with puzzles and dynamic combat. Go on a journey across a sprawling continent as Kaku, a boy tasked to restore balance to the land. Brave the four elemental regions with the help of Piggy, his powerful companion and conquer their lords.",2024-07-12,11-07-2024,63579.0,24.99,1061930.0,21.65903214357081,86.0,Indie,BINGOBELL,BINGOBELL,1179580.0
KALPA: Cosmic Symphony,8.19,2024-08-15,106.0,Very Positive,"Casual,Action,Rhythm,Sports,Music,Soundtrack,Difficult,Anime,Colorful,Singleplayer,Arcade,Competitive,Electronic Music,Cartoon,Music-Based Procedural Generation,Cute,Hentai,2D,Sexual Content,Female Protagonist","KALPA, the authentic rhythm game, is now available on STEAM! The doomed universe needs you to play your life away. Play your life's music with Kalpa to save the dying Yggdrasil and revive the universe!",2024-08-15,15-08-2024,2583.0,19.99,46470.0,2.186317638434692,88.0,Indie,"QueseraGames Co., Ltd.","QueseraGames Co., Ltd.",2717010.0
